;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Prestamos mantenidos para la venta;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos Corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo restringido;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otro activo corriente;0,0;0,0;2983000000,0;4236000000,0;4412000000,0;5490000000,0;7054000000,0;8105000000,0;12650000000,0;15714000000,0;16309000000,0
Total de activo corriente;90114000000,0;105408000000,0;124308000000,0;135676000000,0;152578000000,0;174296000000,0;188143000000,0;164795000000,0;171530000000,0;163711000000,0;206038000000,0
Inmobilizado material bruto;40146000000,0;47527000000,0;59647000000,0;82507000000,0;82507000000,0;126462000000,0;147012000000,0;171710000000,0;201803000000,0;199829000000,0;0,0
Depreciacion acumulada;11130000000,0;13293000000,0;17264000000,0;22788000000,0;22788000000,0;41713000000,0;49414000000,0;59042000000,0;67458000000,0;79390000000,0;0,0
Inmobilizado material neto;29016000000,0;34234000000,0;42383000000,0;59719000000,0;59719000000,0;84749000000,0;97599000000,0;112668000000,0;134345000000,0;171036000000,0;0,0
Inversiones a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fondo de comercio;15869000000,0;16468000000,0;16747000000,0;17888000000,0;20624000000,0;21175000000,0;22956000000,0;28960000000,0;29198000000,0;31885000000,0;33380000000,0
Otros intangibles;3847000000,0;3307000000,0;2692000000,0;2220000000,0;1979000000,0;1445000000,0;1417000000,0;2084000000,0;0,0;0,0;0,0
Division de Finanzas Prestamos y Arrendamientos a Largo Plazo;0,0;0,0;0,0;0,0;685000000,0;0,0;0,0;0,0;0,0;1442000000,0;2059000000,0
Division financiera Otros activos a largo plazo;0,0;0,0;2672000000,0;2693000000,0;2342000000,0;3953000000,0;5361000000,0;6623000000,0;10051000000,0;14874000000,0;16245000000,0
Cuentas por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos a largo plazo;6138000000,0;7230000000,0;1955000000,0;2964000000,0;4730000000,0;6740000000,0;7667000000,0;17298000000,0;26145000000,0;33364000000,0;34084000000,0
Cargos diferidos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros activos a largo plazo;0,0;0,0;2672000000,0;2693000000,0;2342000000,0;3953000000,0;5361000000,0;6623000000,0;10051000000,0;14874000000,0;16245000000,0
Activo total;147461000000,0;167497000000,0;197295000000,0;232792000000,0;275909000000,0;319616000000,0;359268000000,0;365264000000,0;402392000000,0;450256000000,0;595281000000,0
Cuentas por pagar;1931000000,0;2041000000,0;3137000000,0;4378000000,0;5561000000,0;5589000000,0;6037000000,0;5128000000,0;7493000000,0;7987000000,0;12200000000,0
Gastos devengados;4768000000,0;6144000000,0;10177000000,0;16958000000,0;23067000000,0;28631000000,0;31236000000,0;37866000000,0;46168000000,0;51228000000,0;55557000000,0
Prestamos de corto plazo;3225000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2300000000,0;0,0
Porcion corriente de la deuda a largo plazo;1225000000,0;0,0;0,0;0,0;0,0;999000000,0;0,0;0,0;1000000000,0;999000000,0;1996000000,0
