;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Prestamos por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cargos diferidos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros activos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activo total;25787600000,0;29819300000,0;33427500000,0;38701200000,0;46575000000,0;54895300000,0;64098300000,0;71132300000,0;75465000000,0;88690800000,0;105745000000,0;123039000000,0
Cuentas por pagar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos devengados;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos de corto plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Porcion corriente de la deuda a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Porcion corriente de las obligaciones de arrendamiento financiero;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deuda corriente de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros Pasivos Corrientes de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Impuestos sobre la renta actuales por pagar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Unearned Revenue Current;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pasivo por impuestos diferidos Corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros pasivos corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total pasivo corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deuda a largo plazo;2164700000,0;2707900000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Arrendamientos de capitales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deuda No Corriente de la Division de Finanzas;2164700000,0;2707900000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otro Pasivo No Corriente de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos no devengados no corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pension y otros beneficios posteriores a la jubilacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pasivo por impuesto diferido no corriente;98900000,0;109300000,0;111300000,0;135000000,0;0,0;132500000,0;302100000,0;138100000,0;138100000,0;0,0;0,0;0,0
Otro pasivo no corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pasivo Total;18859000000,0;22065000000,0;24986700000,0;28912700000,0;35538700000,0;40996500000,0;47059700000,0;52900700000,0;59574000000,0;68413700000,0;80154000000,0;92716000000,0
Acciones preferentes reembolsables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones preferentes no reembolsables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones preferentes convertibles;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total preferentes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones comunes;587800000,0;583600000,0;579900000,0;581700000,0;583200000,0;584600000,0;585200000,0;584400000,0;584900000,0;585300000,0;586000000,0;586000000,0
Prima de suscripcion;1184300000,0;1218800000,0;1303400000,0;1389200000,0;1479000000,0;1573400000,0;1672900000,0;1772900000,0;1893000000,0;2013100000,0;2145000000,0;2307000000,0
Beneficio no distribuido;4133400000,0;4686600000,0;5140400000,0;6031700000,0;8386600000,0;10679600000,0;13354900000,0;15339700000,0;15721200000,0;18800500000,0;24283000000,0;27327000000,0
Autocartera;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Resultado integral y otros;1023100000,0;800400000,0;933400000,0;1282200000,0;-120900000,0;341700000,0;931700000,0;40700000,0;-2802000000,0;-1615700000,0;-1423000000,0;103000000,0
Patrimonio neto comun total;6928600000,0;7289400000,0;7957100000,0;9284800000,0;10821800000,0;13673200000,0;17038600000,0;18231600000,0;15891000000,0;20277100000,0;25591000000,0;30323000000,0
Intereses minoritario;0,0;1100000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fondos propios totales;6928600000,0;7289400000,0;7957100000,0;9284800000,0;10821800000,0;13673200000,0;17038600000,0;18231600000,0;15891000000,0;20277100000,0;25591000000,0;30323000000,0
Pasivo total y patrimonio neto;25787600000,0;29819300000,0;33427500000,0;38701200000,0;46575000000,0;54895300000,0;64098300000,0;71132300000,0;75465000000,0;88690800000,0;105745000000,0;123039000000,0
Inversiones por metodo de participacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Terrenos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Edificios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Construccion en progreso;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Empleados a tiempo completo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio netos;1281000000,0;1267600000,0;1031000000,0;1592200000,0;2615300000,0;3970300000,0;5704600000,0;3350900000,0;721500000,0;3902400000,0;8480000000,0;11308000000,0
Amortizacion de fondos de comercio y activos intangibles;0,0;46800000,0;62100000,0;66200000,0;72000000,0;66300000,0;56900000,0;57700000,0;31000000,0;14200000,0;0,0;0,0
Depreciacion y amortizacion total;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Amortizacion de cargos diferidos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Interes minoritario en las ganancias;0,0;32900000,0;26200000,0;5900000,0;5700000,0;9700000,0;0,0;0,0;0,0;0,0;0,0;0,0
(Ganancia) Perdida por venta de activos;-5400000,0;-2000000,0;-6600000,0;-7200000,0;-32100000,0;-11000000,0;-12500000,0;3600000,0;600000,0;-36200000,0;-13000000,0;-16000000,0
(Ganancia) Perdida por venta de inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro de actiovs y costes de reestructuracion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para perdidas crediticias;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
(Ingresos) Perdida en inversiones de capital;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Compensacion de stock options;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;132000000,0
Beneficio fiscal de las opciones sobre acciones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision y cancelacion de deudas incobrables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo neto de operaciones discontinuadas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otras actividades operativas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cambio en cuentas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cambio en inventarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cambio en cuentas por pagar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cambio en los ingresos no devengados;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cambio de impuestos sobre la renta;97500000,0;-107200000,0;-55700000,0;-172600000,0;-158700000,0;227200000,0;-23100000,0;-86000000,0;-515300000,0;181200000,0;-358000000,0;-200000000,0
Efectivo de Operaciones;1725600000,0;2292900000,0;2701900000,0;3756800000,0;6284800000,0;6261600000,0;6905600000,0;7761700000,0;6848800000,0;10643300000,0;15119000000,0;17548000000,0
Gastos de capital;108100000,0;130700000,0;215000000,0;155700000,0;266000000,0;363500000,0;223500000,0;243500000,0;292000000,0;252000000,0;285000000,0;348000000,0
Venta de inmobilizado material;5900000,0;10600000,0;6200000,0;15300000,0;9400000,0;53300000,0;21900000,0;66200000,0;35100000,0;47200000,0;77000000,0;80000000,0
Adquisiciones con efectivo;0,0;752700000,0;0,0;0,0;0,0;0,0;0,0;313200000,0;0,0;0,0;0,0;0,0
Desinversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Inversion en valores negociables y de renta variable;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo de la inversion;-836900000,0;-1923900000,0;-2464500000,0;-3406700000,0;-7331800000,0;-4338300000,0;-6117700000,0;-3119800000,0;-7956200000,0;-10842600000,0;-13749000000,0;-14527000000,0
Deuda total emitida;344700000,0;382000000,0;495600000,0;841100000,0;1134000000,0;0,0;986300000,0;0,0;1486000000,0;496300000,0;0,0;0,0
