;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Depreciacion acumulada;2023000000,0;2395000000,0;2648000000,0;2890000000,0;3225000000,0;3875000000,0;4424000000,0;4959000000,0;5658000000,0;5355000000,0;5473000000,0;5870000000,0
Inmobilizado material neto;1892000000,0;1888000000,0;2150000000,0;2253000000,0;2472000000,0;2695000000,0;2737000000,0;2715000000,0;3223000000,0;3425000000,0;3824000000,0;4236000000,0
Inversiones a largo plazo;3015000000,0;3384000000,0;3931000000,0;1926000000,0;4082000000,0;0,0;0,0;1705000000,0;2136000000,0;1921000000,0;2545000000,0;999000000,0
Fondo de comercio;11753000000,0;11825000000,0;15066000000,0;15110000000,0;15194000000,0;15656000000,0;15910000000,0;15958000000,0;17787000000,0;17997000000,0;18941000000,0;19879000000,0
Otros intangibles;11411000000,0;11361000000,0;27234000000,0;27848000000,0;27558000000,0;26780000000,0;27808000000,0;27664000000,0;25065000000,0;26104000000,0;26889000000,0;27646000000,0
Division de Finanzas Prestamos y Arrendamientos a Largo Plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Division financiera Otros activos a largo plazo;855000000,0;776000000,0;893000000,0;1226000000,0;1165000000,0;2232000000,0;3413000000,0;4002000000,0;3737000000,0;3731000000,0;3651000000,0;3944000000,0
Cuentas por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos a largo plazo;8000000,0;11000000,0;22000000,0;1307000000,0;941000000,0;698000000,0;798000000,0;1046000000,0;1167000000,0;1553000000,0;1641000000,0;1528000000,0
Cargos diferidos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros activos a largo plazo;855000000,0;776000000,0;893000000,0;1226000000,0;1165000000,0;2232000000,0;3413000000,0;4002000000,0;3737000000,0;3731000000,0;3651000000,0;3944000000,0
Activo total;38569000000,0;40236000000,0;64035000000,0;67977000000,0;69225000000,0;72574000000,0;80919000000,0;82896000000,0;85501000000,0;90499000000,0;94511000000,0;99627000000,0
Cuentas por pagar;147000000,0;127000000,0;203000000,0;179000000,0;183000000,0;156000000,0;174000000,0;266000000,0;340000000,0;375000000,0;479000000,0;555000000,0
Gastos devengados;624000000,0;868000000,0;1128000000,0;1129000000,0;1160000000,0;1625000000,0;1840000000,0;2334000000,0;3726000000,0;5015000000,0;4909000000,0;5466000000,0
Prestamos de corto plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Porcion corriente de la deuda a largo plazo;0,0;0,0;0,0;1749000000,0;0,0;0,0;2999000000,0;999000000,0;2250000000,0;0,0;0,0;5569000000,0
Porcion corriente de las obligaciones de arrendamiento financiero;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deuda corriente de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros Pasivos Corrientes de la Division de Finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Impuestos sobre la renta actuales por pagar;73000000,0;75000000,0;153000000,0;243000000,0;257000000,0;327000000,0;134000000,0;325000000,0;365000000,0;1500000000,0;577000000,0;512000000,0
Unearned Revenue Current;82000000,0;81000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pasivo por impuestos diferidos Corriente;0,0;19000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros pasivos corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total pasivo corriente;6006000000,0;5374000000,0;8046000000,0;9994000000,0;11305000000,0;13415000000,0;14510000000,0;15739000000,0;20853000000,0;23098000000,0;26517000000,0;35048000000,0
Deuda a largo plazo;0,0;0,0;15882000000,0;16618000000,0;16630000000,0;16729000000,0;24070000000,0;20977000000,0;20200000000,0;20463000000,0;20836000000,0;19602000000,0
Arrendamientos de capitales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;471000000,0;422000000,0;412000000,0;685000000,0;763000000,0
Deuda No Corriente de la Division de Finanzas;0,0;0,0;15882000000,0;16618000000,0;16630000000,0;16729000000,0;24070000000,0;20977000000,0;0,0;0,0;0,0;0,0
Otro Pasivo No Corriente de la Division de Finanzas;1005000000,0;897000000,0;1162000000,0;1321000000,0;2666000000,0;2939000000,0;3891000000,0;3462000000,0;3535000000,0;3091000000,0;2720000000,0;1519000000,0
Ingresos no devengados no corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pension y otros beneficios posteriores a la jubilacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pasivo por impuesto diferido no corriente;4137000000,0;4123000000,0;4786000000,0;5899000000,0;4604000000,0;4783000000,0;5174000000,0;6048000000,0;5245000000,0;4988000000,0;5161000000,0;5421000000,0
Otro pasivo no corrientes;1005000000,0;897000000,0;1162000000,0;1321000000,0;2666000000,0;2939000000,0;3891000000,0;3462000000,0;3535000000,0;3091000000,0;2720000000,0;1519000000,0
Pasivo Total;11156000000,0;10394000000,0;31123000000,0;35217000000,0;35219000000,0;37890000000,0;44709000000,0;45307000000,0;49920000000,0;51766000000,0;55374000000,0;61718000000,0
Acciones preferentes reembolsables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones preferentes no reembolsables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones preferentes convertibles;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total preferentes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acciones comunes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prima de suscripcion;18299000000,0;18073000000,0;17395000000,0;16900000000,0;16678000000,0;16541000000,0;16721000000,0;18855000000,0;0,0;0,0;21229000000,0;21934000000,0
Beneficio no distribuido;9131000000,0;11843000000,0;10462000000,0;9508000000,0;11318000000,0;13502000000,0;14088000000,0;15351000000,0;16116000000,0;18040000000,0;17289000000,0;15106000000,0
Autocartera;0,0;0,0;170000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Resultado integral y otros;-17000000,0;-74000000,0;-458000000,0;878000000,0;547000000,0;-650000000,0;354000000,0;436000000,0;-2369000000,0;-1317000000,0;-308000000,0;248000000,0
Patrimonio neto comun total;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses minoritario;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
